x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
792;8;-0.0923444;0.752603;0.758247;-0.000131659;-0.00415222;-0.000201264;0.000491358;0.00395096;0.00395096;0.0003597;0;0;1.46963;0;0;0;0;0
808;8;-0.097276;0.747418;0.753722;-0.000502097;0.00299423;-0.000358345;0.00514945;-0.00335257;0.00335257;0.00464736;0;0;1.47426;0;0;0;0;0
824;8;-0.107111;0.740852;0.748555;-0.000640496;0.0051308;-0.000518825;0.00444806;-0.00564962;0.00564962;0.00380756;0;0;1.39752;0;0;0;0;0
840;8;-0.115141;0.729973;0.738998;-0.000182588;0.00448519;-0.000835867;-0.00016509;-0.00532105;0.00532105;-0.000347678;3.74894e-06;0;1.3414;0;0;0;0;0
856;8;-0.112289;0.712651;0.721443;0.000494524;0.00156396;-0.00150751;-0.00157833;-0.00307147;0.00307147;-0.00108381;1.2835e-06;0;1.42813;0;0;0;0;0
872;8;-0.103643;0.682299;0.690126;0.000114136;-0.0026637;-0.00201599;0.000716254;0.000647716;0.000647716;0.000830391;0;0;1.53318;0;0;0;0;0
888;8;-0.110077;0.648904;0.658174;-0.000634683;-0.00718245;-0.00229837;0.00348794;0.00488408;0.00488408;0.00285326;0;0;1.52404;0;0;0;0;0
904;8;-0.119363;0.607068;0.618691;-0.000274322;0.000707079;-0.00307878;0.00263878;-0.00378586;0.00378586;0.00236446;5.53985e-08;0;1.49686;0;0;0;0;0
920;8;-0.116189;0.552087;0.564181;0.000674871;0.00731464;-0.00356095;0.000226997;-0.0108756;0.0108756;0.000901867;2.59969e-05;0;1.40897;0;0;0;0;0
936;8;-0.0998665;0.498886;0.508783;0.00115278;0.00624362;-0.00275473;-0.00175338;-0.00899834;0.00899834;-0.000600605;1.5088e-05;0;1.12979;0;0;0;0;0
952;8;-0.0836805;0.467155;0.474591;0.00066851;-0.0013569;-0.001275;-0.00416004;8.19016e-05;8.19016e-05;-0.00349153;0;0;1.12751;0;0;0;0;0
968;8;-0.0806296;0.456523;0.463589;-0.000295412;-0.00103603;-0.000216192;-0.00599175;0.000819835;0.000819835;-0.00628717;0;0;0.82989;0;0;0;0;0
984;8;-0.090647;0.457984;0.466868;-0.000636162;0.000843488;0.000298298;-0.00690126;-0.000545189;0.000545189;-0.00753743;0;0;0.909218;0;0;0;0;0
1000;8;-0.0988794;0.467021;0.477374;-0.00047048;-0.00289275;0.00111816;-8.81664e-05;0.00401091;0.00401091;-0.000558647;3.19802e-06;0;0.91492;0;0;0;0;0
1016;8;-0.107536;0.493868;0.50544;-0.000813094;-0.00394731;0.00207815;0.00686385;0.00602546;0.00602546;0.00605075;0;0;0.981771;0;0;0;0;0
1032;8;-0.125407;0.528909;0.543573;-0.00130006;-0.00365938;0.00202907;0.00926927;0.00568845;0.00568845;0.00796921;0;0;0.998224;0;0;0;0;0
1048;8;-0.146758;0.554078;0.573184;-0.00113932;-0.000851652;0.000961707;0.00451922;0.00181336;0.00181336;0.0033799;0;0;1.36471;0;0;0;0;0
1064;8;-0.163043;0.559121;0.582408;-0.00128844;0.00124023;-0.000201236;0.00423559;-0.00144147;0.00144147;0.00294715;0;0;1.37996;0;0;0;0;0
1080;8;-0.189872;0.550914;0.582716;-0.00198086;0.00234819;-0.000571157;0.00212864;-0.00291935;0.00291935;0.000147781;0;0;1.36174;0;0;0;0;0
1096;8;-0.222939;0.542238;0.58628;-0.00179965;0.0039769;-0.000643644;-0.00122926;-0.00462055;0.00462055;-0.00302891;2.47837e-06;0;1.42928;0;0;0;0;0
1112;8;-0.245603;0.52868;0.582944;-0.00121693;0.00344714;-0.00126219;-0.00214102;-0.00470933;0.00470933;-0.00335795;4.13746e-06;0;1.29827;0;0;0;0;0
1128;8;-0.263364;0.504824;0.569392;-0.00105236;-0.00167814;-0.00123797;-0.00418593;0.000440164;0.000440164;-0.00523829;0;0;1.33042;0;0;0;0;0
1144;8;-0.279616;0.493941;0.567594;-0.000863131;-0.00197576;-0.00010255;-0.00159995;0.00187321;0.00187321;-0.00246308;0;0;1.22803;0;0;0;0;0
1160;8;-0.29299;0.502023;0.581266;-0.00112125;0.00394803;0.00110342;0.00240913;-0.00284461;0.00284461;0.00128788;0;0;1.08722;0;0;0;0;0
1176;8;-0.316889;0.52596;0.614047;-0.00178561;0.00591561;0.00158677;-0.000450566;-0.00432884;0.00432884;-0.00223618;0;0;1.20085;0;0;0;0;0
1192;8;-0.346267;0.549119;0.649179;-0.00154543;0.00827849;0.00125485;-0.00139974;-0.00702363;0.00702363;-0.00294517;0;0;1.15665;0;0;0;0;0
1208;8;-0.362997;0.566053;0.672445;-0.00053817;0.0109117;0.000975068;0.000187986;-0.00993663;0.00993663;-0.000350184;0;0;1.22438;0;0;0;0;0
1224;8;-0.36513;0.58183;0.686911;3.26658e-05;0.00578592;0.00113078;0.00604418;-0.00465514;0.00465514;0.00607684;0;0;1.13041;0;0;0;0;0
1240;8;-0.364468;0.600434;0.702394;3.07593e-05;0.00118139;0.00081421;0.00392585;-0.000367184;0.000367184;0.0039566;0;0;1.11198;0;0;0;0;0
1256;8;-0.364306;0.607059;0.707983;4.52081e-05;-0.000699855;0.000276113;0.00476526;0.000975968;0.000975968;0.00481047;0;0;1.22979;0;0;0;0;0
1272;8;-0.362305;0.611556;0.71082;0.00022916;0.00324841;0.000306683;0.00595734;-0.00294173;0.00294173;0.0061865;0;0;1.179;0;0;0;0;0
1288;8;-0.356506;0.617791;0.713276;0.000646149;-0.00220227;0.000545773;0.00618174;0.00274805;0.00274805;0.00682788;0;0;1.17055;0;0;0;0;0
1304;8;-0.346066;0.62741;0.716523;6.9669e-05;-0.00192091;0.000349674;-0.00215551;0.00227059;0.00227059;-0.00208584;0;0;1.21795;0;0;0;0;0
